nome,categoria,url,porcao,calorias,carboidratos,proteinas,gorduras_totais,gorduras_saturadas,fibras,acucares,sodio
AÇAÍ WHEY,,https://www.essentialnutrition.com.br/acai-whey-protein-acai-com-banana-box,"Porção: 30g
(1 sachê)",116.0,3.0,22.0,1.7,0.5,1.0,1.4,96.0
OMEGA JOINT,,https://www.essentialnutrition.com.br/omega-joint-suplemento-para-articulacao,"Porção: 2,5g (2 cápsulas)",14.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0
CHOCOKI,,https://www.essentialnutrition.com.br/chocoki-achocolatado-vitaminado-sem-acucar,"Porção: 15g
(2 colheres de sopa rasas)",24.0,9.7,1.2,0.7,0.4,1.6,0.0,0.0
VITAMINI JUICE LARANJA,,https://www.essentialnutrition.com.br/vitamini-juice-laranja-suco-em-po,"Quantidade por porção: 11,7g
(1 colher-medida)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MUSCLE SYNERGY JABUTICABA,,https://www.essentialnutrition.com.br/muscle-synergy-suplemento-proteico-jabuticaba-com-limao,"Porção: 28,5g (1 colher-medida)",60.0,0.9,14.0,0.0,0.0,0.6,0.0,116.0
RADIANCE JOY MYSTIC LEMON,,https://www.essentialnutrition.com.br/radiance-joy-protein-bar-mystic-lemon,Porção: 50g (1 barra),158.0,14.0,11.0,7.3,3.9,8.0,2.9,57.0
AMINO GREENS,,https://www.essentialnutrition.com.br/amino-greens-limao,"Porção: 8,7g
(1 colher-medida)",5.0,1.0,0.0,0.0,0.0,0.8,0.0,56.0
FIBER BIOME NEUTRO,,https://www.essentialnutrition.com.br/fiber-biome-blend-fibras,"Porção: 10g
(1 colher-medida)",15.0,0.0,0.0,0.0,0.0,8.7,0.0,26.0
VEGGIE PROTEIN NEUTRO,,https://www.essentialnutrition.com.br/veggie-protein-neutro,"Porção: 27g
(1 colher-medida)",0.0,0.0,22.0,3.5,0.5,1.4,0.0,282.0
BETA ACTION MELANCIA,,https://www.essentialnutrition.com.br/beta-action-pre-treino-melancia-com-limao,"Porção: 31,5g
(1 colher-medida)",88.0,22.0,0.0,0.0,0.0,0.0,19.0,226.0
FOCUS THEANINE + CAFFEINE,,https://www.essentialnutrition.com.br/focus-theanine-l-teanina-e-cafeina,"Porção: 0,7g (1 cápsula)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUPER OMEGA-3 TG GASTRO-RESISTANT,,https://www.essentialnutrition.com.br/super-omega-3-tg-gastro-resistant,,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
BRAINSTORM COFFEE,,https://www.essentialnutrition.com.br/brainstorm-coffee-cafe,"Porção: 9,3g
(1 colher-medida)",26.0,2.9,2.1,0.6,0.5,0.9,0.0,32.0
BEEF PROTEIN BANANA COM CANELA,,https://www.essentialnutrition.com.br/beef-protein-banana-com-canela,"Porção: 30g
(1 colher-medida)",60.0,2.5,12.0,0.3,0.1,0.5,1.2,83.0
LIVESTRONG CHOCOLATE,,https://www.essentialnutrition.com.br/livestrong-com-peptistrong-chocolate,"Porção: 7,9g (1 colher-medida)",11.0,1.0,1.2,0.2,0.1,1.1,0.0,7.4
PRE-ACTION ENERGY DRINK MAÇÃ,,https://www.essentialnutrition.com.br/pre-action-energy-drink-maca-box,"Porção: 27g
(1 sachê)",88.0,22.0,0.0,0.0,0.0,0.0,21.0,295.0
COLLAGEN GUT MIX DE FRUTAS,,https://www.essentialnutrition.com.br/collagen-gut-mix-de-frutas,Porção: 23g (1 colher-medida),37.0,2.2,4.2,0.0,0.0,5.7,0.0,137.0
COLLAGEN 2 JOINT NEUTRO,,https://www.essentialnutrition.com.br/collagen-2-joint-neutro-box,"Porção: 10g
(1 stick)",34.0,0.0,8.4,0.0,0.0,0.0,0.0,45.0
CRANBERRY LIFT,,https://www.essentialnutrition.com.br/cranberry-lift-box,Porção: 5g (1 sachê),9.0,2.2,0.0,0.0,0.0,0.0,1.2,0.0
VEGGIE PROTEIN CACAO,,https://www.essentialnutrition.com.br/veggie-protein-cacao-chocolate-box,Porção: 35g (1 sachê),137.0,2.7,22.0,4.2,0.9,3.5,0.0,293.0
VANILLA WHEY,,https://www.essentialnutrition.com.br/vanilla-whey-baunilha-30-doses,"Porção: 25g
(1 colher-medida)",88.0,0.0,22.0,0.0,0.0,0.0,0.0,89.0
RADIANCE JOY BERRIES + WHITE CHOCOLATE,,https://www.essentialnutrition.com.br/radiance-joy-protein-bar-berries-white-chocolate-box,Porção: 50g (1 barra),164.0,15.0,10.0,7.9,0.0,8.6,0.0,53.0
HYDROLIFT TANGERINA,,https://www.essentialnutrition.com.br/hydrolift-tangerina-eletrolitos-e-vitamina-c,"Porção: 2,9g
(1 stick)",0.0,0.1,0.0,0.0,0.0,0.0,0.0,46.0
PRE-ACTION ENERGY DRINK ABACAXI,,https://www.essentialnutrition.com.br/pre-action-energy-drink-abacaxi,"Porção: 27g
(1 sachê)",88.0,22.0,0.0,0.0,0.0,0.0,21.0,296.0
SUPER OMEGA-3 TG,,https://www.essentialnutrition.com.br/super-omega-3-tg-180-caps,,18.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
RADIANCE JOY MYSTIC LEMON,,https://www.essentialnutrition.com.br/radiance-joy-protein-bar-mystic-lemon-box,Porção: 50g (1 barra),158.0,14.0,11.0,7.3,3.9,8.0,2.9,57.0
